Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2208,Athena-Weston SD 29RJ,65,78.46%,77.00% or more,10.77%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,62.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,14.29%,34% or more,57.14%,58% or more,71.43%,76% or more
1894,Baker SD 5J,596,91.11%,77.00% or more,2.18%,8.40% or less,0.00%,1.60% or less,56.14%,95.00%,37.10%,95.00%,24.19%,95.00%,17.24%,26.93%,23.81%,15.73%,35.71%,27.53%,56.14%,95.00%,37.10%,95.00%,24.59%,95.00%,20.69%,20.10%,14.29%,9.75%,7.14%,6.12%,97.14%,100.00%,79.38%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.33%,23.11%,18.70%,26.00%,24.05%,27.55%,13.77%,16.18%,16.14%,17.00%,27.43%,17.76%,93.33,82.00%,<5%,11.82%,30.00%,34% or more,80.00%,58% or more,80.00%,76% or more
1969,Bandon SD 54,93,74.19%,77.00% or more,10.75%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,83.33%,86.22%,83.33%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,55.56,82.00%,44.44%,11.82%,*,34% or more,*,58% or more,*,76% or more
2240,Banks SD 13,172,85.47%,77.00% or more,6.40%,8.40% or less,0.58%,1.60% or less,71.43%,95.00%,76.92%,95.00%,33.33%,95.00%,<5%,26.93%,<5%,15.73%,*,27.53%,71.43%,95.00%,76.92%,95.00%,44.44%,95.00%,<5%,20.10%,10.00%,9.75%,*,6.12%,100.00%,100.00%,>95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,52.31%,23.11%,25.45%,26.00%,*,27.55%,40.00%,16.18%,21.58%,17.00%,*,17.76%,80.00,82.00%,6.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
2243,Beaverton SD 48J,4709,82.59%,77.00% or more,12.85%,8.40% or less,1.21%,1.60% or less,82.43%,95.00%,81.16%,95.00%,60.12%,95.00%,34.43%,26.93%,14.55%,15.73%,21.74%,27.53%,82.88%,95.00%,80.61%,95.00%,58.96%,95.00%,31.66%,20.10%,6.77%,9.75%,12.78%,6.12%,98.10%,100.00%,71.43%,86.22%,*,100.00%,51.72%,70.30%,36.00%,61.42%,70.83%,63.65%,6.67%,50.89%,32.00%,47.37%,58.33%,47.79%,23.44%,23.11%,31.88%,26.00%,25.37%,27.55%,21.03%,16.18%,28.63%,17.00%,14.26%,17.76%,73.73,82.00%,18.50%,11.82%,37.91%,34% or more,55.96%,58% or more,78.34%,76% or more
1976,Bend-LaPine Administrative SD 1,1912,81.69%,77.00% or more,7.58%,8.40% or less,0.00%,1.60% or less,74.86%,95.00%,66.87%,95.00%,33.33%,95.00%,20.93%,26.93%,14.29%,15.73%,12.73%,27.53%,73.74%,95.00%,61.96%,95.00%,26.06%,95.00%,22.83%,20.10%,13.40%,9.75%,<5%,6.12%,98.60%,100.00%,71.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,31.50%,23.11%,36.02%,26.00%,29.30%,27.55%,25.83%,16.18%,26.27%,17.00%,16.30%,17.76%,66.86,82.00%,16.28%,11.82%,37.66%,34% or more,79.22%,58% or more,85.71%,76% or more
2088,Bethel SD 52,964,75.52%,77.00% or more,11.00%,8.40% or less,2.07%,1.60% or less,72.22%,95.00%,74.70%,95.00%,48.81%,95.00%,27.69%,26.93%,8.06%,15.73%,15.38%,27.53%,68.89%,95.00%,65.06%,95.00%,39.29%,95.00%,27.42%,20.10%,11.11%,9.75%,6.45%,6.12%,92.56%,100.00%,78.38%,86.22%,93.33%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,8.22%,23.11%,16.86%,26.00%,<5%,27.55%,<5%,16.18%,<5%,17.00%,<5%,17.76%,52.38,82.00%,34.92%,11.82%,11.11%,34% or more,44.44%,58% or more,44.44%,76% or more
2095,Blachly SD 90,40,97.50%,77.00% or more,2.50%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2052,Black Butte SD 41,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1974,Brookings-Harbor SD 17C,211,81.99%,77.00% or more,9.00%,8.40% or less,0.47%,1.60% or less,76.47%,95.00%,>95%,95.00%,61.54%,95.00%,8.33%,26.93%,8.33%,15.73%,*,27.53%,76.47%,95.00%,>95%,95.00%,53.85%,95.00%,<5%,20.10%,<5%,9.75%,*,6.12%,100.00%,100.00%,63.16%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,20.62%,23.11%,21.30%,26.00%,*,27.55%,19.74%,16.18%,8.91%,17.00%,*,17.76%,75.00,82.00%,16.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
1896,Burnt River SD 30J,6,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2046,Butte Falls SD 91,31,87.10%,77.00% or more,6.45%,8.40% or less,3.23%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,>95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1995,Camas Valley SD 21J,24,75.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1929,Canby SD 86,583,80.27%,77.00% or more,6.52%,8.40% or less,2.23%,1.60% or less,85.42%,95.00%,92.59%,95.00%,20.00%,95.00%,12.50%,26.93%,8.51%,15.73%,*,27.53%,85.42%,95.00%,92.59%,95.00%,20.00%,95.00%,12.50%,20.10%,8.51%,9.75%,*,6.12%,98.73%,100.00%,72.81%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,21.39%,23.11%,19.15%,26.00%,*,27.55%,14.65%,16.18%,10.51%,17.00%,*,17.76%,84.85,82.00%,15.15%,11.82%,21.05%,34% or more,63.16%,58% or more,84.21%,76% or more
2139,Cascade SD 5,436,80.28%,77.00% or more,9.17%,8.40% or less,0.92%,1.60% or less,91.67%,95.00%,>95%,95.00%,75.76%,95.00%,22.58%,26.93%,8.82%,15.73%,28.00%,27.53%,91.67%,95.00%,>95%,95.00%,75.76%,95.00%,29.03%,20.10%,<5%,9.75%,8.00%,6.12%,100.00%,100.00%,80.95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,25.82%,23.11%,37.71%,26.00%,38.12%,27.55%,15.12%,16.18%,27.78%,17.00%,9.13%,17.76%,67.65,82.00%,23.53%,11.82%,13.33%,34% or more,93.33%,58% or more,93.33%,76% or more
2185,Centennial SD 28J,839,75.33%,77.00% or more,9.30%,8.40% or less,3.46%,1.60% or less,87.95%,95.00%,75.76%,95.00%,75.44%,95.00%,11.94%,26.93%,<5%,15.73%,<5%,27.53%,87.95%,95.00%,74.24%,95.00%,73.68%,95.00%,10.45%,20.10%,<5%,9.75%,<5%,6.12%,98.33%,100.00%,68.89%,86.22%,*,100.00%,*,70.30%,*,61.42%,23.08%,63.65%,*,50.89%,*,47.37%,23.08%,47.79%,18.16%,23.11%,23.56%,26.00%,31.61%,27.55%,13.68%,16.18%,15.07%,17.00%,11.41%,17.76%,50.91,82.00%,30.91%,11.82%,20.51%,34% or more,64.10%,58% or more,69.23%,76% or more
1972,Central Curry SD 1,48,85.42%,77.00% or more,6.25%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,16.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2105,Central Linn SD 552,96,97.92%,77.00% or more,0.00%,8.40% or less,2.08%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,90.91%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,54.55,82.00%,36.36%,11.82%,14.29%,34% or more,71.43%,58% or more,85.71%,76% or more
2042,Central Point SD 6,691,67.15%,77.00% or more,15.92%,8.40% or less,0.58%,1.60% or less,87.18%,95.00%,88.41%,95.00%,76.92%,95.00%,9.09%,26.93%,13.33%,15.73%,13.33%,27.53%,87.18%,95.00%,86.96%,95.00%,61.54%,95.00%,7.58%,20.10%,5.08%,9.75%,<5%,6.12%,97.76%,100.00%,78.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.88%,23.11%,20.45%,26.00%,35.56%,27.55%,17.76%,16.18%,17.41%,17.00%,17.82%,17.76%,62.00,82.00%,26.00%,11.82%,30.77%,34% or more,57.69%,58% or more,69.23%,76% or more
2191,Central SD 13J,411,63.50%,77.00% or more,17.27%,8.40% or less,1.95%,1.60% or less,88.89%,95.00%,>95%,95.00%,50.00%,95.00%,9.09%,26.93%,6.90%,15.73%,*,27.53%,88.89%,95.00%,>95%,95.00%,50.00%,95.00%,9.09%,20.10%,<5%,9.75%,*,6.12%,77.59%,100.00%,71.43%,86.22%,62.50%,100.00%,*,70.30%,25.00%,61.42%,*,63.65%,*,50.89%,16.67%,47.37%,*,47.79%,23.95%,23.11%,24.49%,26.00%,*,27.55%,10.73%,16.18%,13.57%,17.00%,*,17.76%,75.76,82.00%,24.24%,11.82%,*,34% or more,*,58% or more,*,76% or more
1945,Clatskanie SD 6J,136,75.00%,77.00% or more,13.24%,8.40% or less,1.47%,1.60% or less,75.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,75.00%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,69.23%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1927,Colton SD 53,91,93.41%,77.00% or more,2.20%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,63.64%,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,72.73%,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,62.50,82.00%,37.50%,11.82%,*,34% or more,*,58% or more,*,76% or more
2006,Condon SD 25J,13,92.31%,77.00% or more,7.69%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1965,Coos Bay SD 9,517,81.82%,77.00% or more,9.86%,8.40% or less,0.19%,1.60% or less,91.67%,95.00%,92.11%,95.00%,82.35%,95.00%,7.69%,26.93%,6.45%,15.73%,19.23%,27.53%,88.33%,95.00%,92.11%,95.00%,73.53%,95.00%,12.00%,20.10%,<5%,9.75%,<5%,6.12%,98.91%,100.00%,86.11%,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,22.11%,23.11%,22.72%,26.00%,26.28%,27.55%,13.30%,16.18%,13.49%,17.00%,13.71%,17.76%,74.19,82.00%,12.90%,11.82%,*,34% or more,*,58% or more,*,76% or more
1964,Coquille SD 8,173,79.77%,77.00% or more,7.51%,8.40% or less,0.00%,1.60% or less,71.43%,95.00%,84.62%,95.00%,58.33%,95.00%,<5%,26.93%,20.00%,15.73%,*,27.53%,71.43%,95.00%,84.62%,95.00%,58.33%,95.00%,10.00%,20.10%,<5%,9.75%,*,6.12%,*,100.00%,64.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,45.24%,23.11%,13.33%,26.00%,*,27.55%,32.17%,16.18%,11.27%,17.00%,*,17.76%,<5,82.00%,88.89%,11.82%,*,34% or more,*,58% or more,*,76% or more
2186,Corbett SD 39,184,89.13%,77.00% or more,1.09%,8.40% or less,2.72%,1.60% or less,66.67%,95.00%,52.63%,95.00%,33.33%,95.00%,7.14%,26.93%,10.00%,15.73%,*,27.53%,61.90%,95.00%,52.63%,95.00%,33.33%,95.00%,23.08%,20.10%,<5%,9.75%,*,6.12%,93.88%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,31.32%,23.11%,42.11%,26.00%,*,27.55%,17.90%,16.18%,31.51%,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,25.00%,34% or more,87.50%,58% or more,87.50%,76% or more
1901,Corvallis SD 509J,766,72.45%,77.00% or more,6.01%,8.40% or less,0.65%,1.60% or less,>95%,95.00%,92.19%,95.00%,72.73%,95.00%,22.58%,26.93%,23.64%,15.73%,42.86%,27.53%,>95%,95.00%,92.19%,95.00%,69.09%,95.00%,26.23%,20.10%,14.29%,9.75%,9.09%,6.12%,90.44%,100.00%,82.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,27.78%,23.11%,36.92%,26.00%,14.14%,27.55%,22.58%,16.18%,26.46%,17.00%,17.93%,17.76%,76.00,82.00%,10.00%,11.82%,60.00%,34% or more,60.00%,58% or more,90.00%,76% or more
2216,Cove SD 15,34,97.06%,77.00% or more,2.94%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2086,Creswell SD 40,198,66.67%,77.00% or more,7.58%,8.40% or less,8.59%,1.60% or less,76.92%,95.00%,*,95.00%,71.43%,95.00%,30.00%,26.93%,*,15.73%,<5%,27.53%,76.92%,95.00%,*,95.00%,71.43%,95.00%,30.00%,20.10%,*,9.75%,<5%,6.12%,100.00%,100.00%,72.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.46%,23.11%,*,26.00%,38.33%,27.55%,16.74%,16.18%,*,17.00%,21.05%,17.76%,72.73,82.00%,18.18%,11.82%,16.67%,34% or more,100.00%,58% or more,100.00%,76% or more
