Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,SuspExplFg,SuspExplFg Target (% of Districts),SuspExplRaceEthnicityFg,SuspExplRaceEthnicityFg Target (% of Districts),DisPrptnRprsntnFg,DisPrptnRprsntnFg Target (% of Districts),DisPrptnRprsntnDsbltyFg,DisPrptnRprsntnDsbltyFg Target (% of Districts),IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2208,Athena-Weston SD 29RJ,86,70.93%,76.00% or more,11.63%,9.00% or less,0.00%,1.70% or less,*,95.00%,77.78%,95.00%,27.27%,95.00%,*,26.86%,16.67%,15.52%,*,26.12%,*,95.00%,77.78%,95.00%,27.27%,95.00%,*,19.71%,<5%,9.18%,*,5.58%,75.00%,100.00%,66.67%,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,27.56%,27.88%,*,28.54%,*,18.18%,19.23%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,>95,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1894,Baker SD 5J,539,94.06%,76.00% or more,2.04%,9.00% or less,0.00%,1.70% or less,44.44%,95.00%,25.71%,95.00%,13.04%,95.00%,26.67%,26.86%,11.11%,15.52%,*,26.12%,44.44%,95.00%,22.86%,95.00%,13.04%,95.00%,20.00%,19.71%,12.50%,9.18%,*,5.58%,89.29%,100.00%,92.86%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,24.00%,23.72%,50.48%,27.88%,*,28.54%,18.67%,18.18%,24.41%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,81.08,80.00%,13.51%,12.52%,13.33%,32.00% or more,66.67%,56.00% or more,80.00%,74.00% or more
1969,Bandon SD 54,88,80.68%,76.00% or more,7.95%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,66.67%,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,>95%,95.00%,50.00%,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,83.33%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,72.73,80.00%,18.18%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2240,Banks SD 13,144,81.94%,76.00% or more,9.03%,9.00% or less,3.47%,1.70% or less,12.50%,95.00%,61.54%,95.00%,*,95.00%,*,26.86%,16.67%,15.52%,*,26.12%,12.50%,95.00%,61.54%,95.00%,*,95.00%,*,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,10.99%,27.88%,*,28.54%,*,18.18%,19.15%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,69.23,80.00%,30.77%,12.52%,18.75%,32.00% or more,75.00%,56.00% or more,75.00%,74.00% or more
2243,Beaverton SD 48J,4649,81.42%,76.00% or more,13.10%,9.00% or less,1.55%,1.70% or less,85.93%,95.00%,85.00%,95.00%,33.87%,95.00%,29.44%,26.86%,16.67%,15.52%,34.51%,26.12%,84.40%,95.00%,82.78%,95.00%,27.42%,95.00%,26.55%,19.71%,11.15%,9.18%,12.36%,5.58%,97.85%,100.00%,79.70%,84.45%,77.78%,100.00%,38.71%,56.04%,30.00%,48.15%,69.23%,57.10%,40.00%,37.35%,24.14%,40.89%,53.85%,44.72%,25.52%,23.72%,36.79%,27.88%,24.95%,28.54%,22.94%,18.18%,27.81%,19.00%,25.21%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,66.75,80.00%,22.75%,12.52%,32.73%,32.00% or more,55.64%,56.00% or more,79.64%,74.00% or more
1976,Bend-LaPine Administrative SD 1,1753,80.60%,76.00% or more,9.01%,9.00% or less,0.17%,1.70% or less,73.08%,95.00%,60.13%,95.00%,36.36%,95.00%,27.03%,26.86%,15.79%,15.52%,14.29%,26.12%,71.15%,95.00%,54.43%,95.00%,34.27%,95.00%,22.02%,19.71%,12.79%,9.18%,6.52%,5.58%,97.47%,100.00%,88.03%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,33.19%,23.72%,36.90%,27.88%,36.98%,28.54%,27.42%,18.18%,22.81%,19.00%,24.47%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,59.86,80.00%,17.69%,12.52%,24.39%,32.00% or more,63.41%,56.00% or more,75.61%,74.00% or more
2088,Bethel SD 52,971,75.70%,76.00% or more,11.74%,9.00% or less,1.24%,1.70% or less,59.04%,95.00%,63.89%,95.00%,23.81%,95.00%,21.74%,26.86%,22.73%,15.52%,13.33%,26.12%,59.04%,95.00%,61.11%,95.00%,23.81%,95.00%,13.04%,19.71%,<5%,9.18%,<5%,5.58%,97.00%,100.00%,78.38%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,18.68%,23.72%,12.65%,27.88%,42.12%,28.54%,12.40%,18.18%,14.02%,19.00%,21.05%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,63.74,80.00%,26.37%,12.52%,13.51%,32.00% or more,75.68%,56.00% or more,81.08%,74.00% or more
2095,Blachly SD 90,35,71.43%,76.00% or more,5.71%,9.00% or less,0.00%,1.70% or less,*,95.00%,62.50%,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,62.50%,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2052,Black Butte SD 41,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1974,Brookings-Harbor SD 17C,216,73.61%,76.00% or more,6.48%,9.00% or less,0.46%,1.70% or less,76.19%,95.00%,84.21%,95.00%,75.00%,95.00%,<5%,26.86%,13.33%,15.52%,<5%,26.12%,90.48%,95.00%,84.21%,95.00%,75.00%,95.00%,5.56%,19.71%,<5%,9.18%,<5%,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,28.13%,23.72%,22.93%,27.88%,47.46%,28.54%,19.69%,18.18%,7.87%,19.00%,18.18%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,>95,80.00%,0.00%,12.52%,0.00%,32.00% or more,83.33%,56.00% or more,83.33%,74.00% or more
1896,Burnt River SD 30J,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2046,Butte Falls SD 91,38,94.74%,76.00% or more,0.00%,9.00% or less,2.63%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1995,Camas Valley SD 21J,38,71.05%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1929,Canby SD 86,575,78.96%,76.00% or more,9.04%,9.00% or less,2.43%,1.70% or less,75.00%,95.00%,82.61%,95.00%,53.49%,95.00%,6.25%,26.86%,13.89%,15.52%,15.00%,26.12%,72.92%,95.00%,76.09%,95.00%,23.26%,95.00%,9.38%,19.71%,<5%,9.18%,14.29%,5.58%,97.22%,100.00%,85.19%,84.45%,16.67%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,33.14%,23.72%,30.47%,27.88%,7.09%,28.54%,23.38%,18.18%,23.56%,19.00%,23.85%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,76.09,80.00%,21.74%,12.52%,46.15%,32.00% or more,92.31%,56.00% or more,100.00%,74.00% or more
2139,Cascade SD 5,375,77.60%,76.00% or more,7.47%,9.00% or less,1.07%,1.70% or less,86.11%,95.00%,94.59%,95.00%,61.90%,95.00%,25.81%,26.86%,10.00%,15.52%,18.18%,26.12%,86.11%,95.00%,94.59%,95.00%,47.62%,95.00%,22.58%,19.71%,6.67%,9.18%,<5%,5.58%,98.48%,100.00%,84.85%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,19.16%,23.72%,35.59%,27.88%,40.78%,28.54%,8.60%,18.18%,7.48%,19.00%,28.00%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,68.18,80.00%,22.73%,12.52%,21.43%,32.00% or more,64.29%,56.00% or more,71.43%,74.00% or more
2185,Centennial SD 28J,777,70.91%,76.00% or more,9.27%,9.00% or less,4.89%,1.70% or less,79.49%,95.00%,77.78%,95.00%,69.39%,95.00%,10.34%,26.86%,8.89%,15.52%,16.67%,26.12%,78.21%,95.00%,76.19%,95.00%,67.35%,95.00%,5.26%,19.71%,8.89%,9.18%,8.70%,5.58%,100.00%,100.00%,78.26%,84.45%,50.00%,100.00%,*,56.04%,*,48.15%,30.00%,57.10%,*,37.35%,*,40.89%,40.00%,44.72%,19.31%,23.72%,27.01%,27.88%,16.35%,28.54%,14.63%,18.18%,15.02%,19.00%,<5%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,42.31,80.00%,42.31%,12.52%,16.98%,32.00% or more,69.81%,56.00% or more,75.47%,74.00% or more
1972,Central Curry SD 1,54,100.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,>95%,95.00%,*,95.00%,*,95.00%,8.33%,26.86%,*,15.52%,*,26.12%,>95%,95.00%,*,95.00%,*,95.00%,8.33%,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,10.82%,23.72%,*,27.88%,*,28.54%,17.20%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2105,Central Linn SD 552,93,81.72%,76.00% or more,7.53%,9.00% or less,3.23%,1.70% or less,77.78%,95.00%,80.00%,95.00%,>95%,95.00%,42.86%,26.86%,16.67%,15.52%,14.29%,26.12%,77.78%,95.00%,60.00%,95.00%,>95%,95.00%,42.86%,19.71%,*,9.18%,<5%,5.58%,85.71%,100.00%,90.91%,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,<5%,23.72%,10.36%,27.88%,38.90%,28.54%,<5%,18.18%,*,19.00%,8.89%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,54.55,80.00%,27.27%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2042,Central Point SD 6,616,67.69%,76.00% or more,19.64%,9.00% or less,0.32%,1.70% or less,72.13%,95.00%,86.96%,95.00%,67.50%,95.00%,9.30%,26.86%,5.26%,15.52%,22.73%,26.12%,68.85%,95.00%,86.96%,95.00%,62.50%,95.00%,7.32%,19.71%,5.26%,9.18%,<5%,5.58%,97.94%,100.00%,81.36%,84.45%,81.82%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,16.05%,23.72%,28.85%,27.88%,26.40%,28.54%,15.22%,18.18%,12.79%,19.00%,26.00%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,56.82,80.00%,20.45%,12.52%,0.00%,32.00% or more,62.50%,56.00% or more,70.83%,74.00% or more
2191,Central SD 13J,379,62.27%,76.00% or more,17.41%,9.00% or less,0.79%,1.70% or less,93.33%,95.00%,87.10%,95.00%,71.88%,95.00%,<5%,26.86%,<5%,15.52%,14.29%,26.12%,86.67%,95.00%,77.42%,95.00%,75.00%,95.00%,12.50%,19.71%,<5%,9.18%,<5%,5.58%,90.91%,100.00%,71.43%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,29.05%,23.72%,24.31%,27.88%,36.87%,28.54%,7.32%,18.18%,11.53%,19.00%,10.40%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,10,80.00%,30.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1945,Clatskanie SD 6J,116,64.66%,76.00% or more,27.59%,9.00% or less,0.86%,1.70% or less,60.00%,95.00%,33.33%,95.00%,*,95.00%,33.33%,26.86%,*,15.52%,*,26.12%,60.00%,95.00%,33.33%,95.00%,*,95.00%,33.33%,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,42.86%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,16.67%,23.72%,*,27.88%,*,28.54%,12.12%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,43.75,80.00%,25.00%,12.52%,0.00%,32.00% or more,28.57%,56.00% or more,42.86%,74.00% or more
1927,Colton SD 53,69,95.65%,76.00% or more,0.00%,9.00% or less,4.35%,1.70% or less,87.50%,95.00%,>95%,95.00%,*,95.00%,28.57%,26.86%,<5%,15.52%,*,26.12%,87.50%,95.00%,>95%,95.00%,*,95.00%,14.29%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,9.89%,23.72%,38.64%,27.88%,*,28.54%,<5%,18.18%,18.60%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,>95,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2006,Condon SD 25J,8,100.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
