Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2208,Athena-Weston SD 29RJ,76,75.00%,77.00% or more,9.21%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,66.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,81.82,81.00%,<5%,12.17%,8.33%,34% or more,75.00%,58% or more,75.00%,76% or more
1894,Baker SD 5J,548,94.16%,77.00% or more,1.82%,8.70% or less,0.00%,1.60% or less,46.15%,95.00%,50.91%,95.00%,27.12%,95.00%,9.52%,26.90%,14.81%,15.63%,31.25%,26.83%,46.15%,95.00%,50.91%,95.00%,25.00%,95.00%,<5%,19.91%,11.11%,9.47%,<5%,5.85%,100.00%,100.00%,79.38%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,31.74%,23.44%,32.38%,26.94%,28.40%,28.04%,35.86%,17.18%,17.77%,18.00%,27.74%,18.76%,94.12,81.00%,<5%,12.17%,0.00%,34% or more,66.67%,58% or more,80.95%,76% or more
1969,Bandon SD 54,95,82.11%,77.00% or more,9.47%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,83.33%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,0.00%,34% or more,85.71%,58% or more,100.00%,76% or more
2240,Banks SD 13,153,82.35%,77.00% or more,5.88%,8.70% or less,3.27%,1.60% or less,92.86%,95.00%,72.73%,95.00%,15.38%,95.00%,<5%,26.90%,*,15.63%,*,26.83%,92.86%,95.00%,54.55%,95.00%,23.08%,95.00%,<5%,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,>95%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,45.59%,23.44%,*,26.94%,*,28.04%,28.36%,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,25.00%,34% or more,75.00%,58% or more,75.00%,76% or more
2243,Beaverton SD 48J,4604,81.13%,77.00% or more,13.71%,8.70% or less,1.67%,1.60% or less,85.00%,95.00%,79.95%,95.00%,49.23%,95.00%,34.13%,26.90%,13.69%,15.63%,23.03%,26.83%,85.53%,95.00%,80.22%,95.00%,41.54%,95.00%,33.22%,19.91%,7.95%,9.47%,<5%,5.85%,98.51%,100.00%,71.43%,85.34%,*,100.00%,46.67%,63.17%,50.00%,54.79%,*,60.38%,30.00%,44.12%,42.86%,44.13%,*,46.26%,23.95%,23.44%,36.55%,26.94%,29.28%,28.04%,18.98%,17.18%,28.98%,18.00%,28.18%,18.76%,76.67,81.00%,14.76%,12.17%,28.70%,34% or more,61.74%,58% or more,75.65%,76% or more
1976,Bend-LaPine Administrative SD 1,1816,82.93%,77.00% or more,7.05%,8.70% or less,0.17%,1.60% or less,82.24%,95.00%,55.11%,95.00%,45.45%,95.00%,20.97%,26.90%,14.89%,15.63%,11.11%,26.83%,77.63%,95.00%,50.00%,95.00%,29.09%,95.00%,21.37%,19.91%,12.94%,9.47%,6.67%,5.85%,98.75%,100.00%,71.71%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,35.47%,23.44%,35.39%,26.94%,23.37%,28.04%,27.84%,17.18%,23.11%,18.00%,12.16%,18.76%,67.09,81.00%,20.25%,12.17%,29.69%,34% or more,79.69%,58% or more,85.94%,76% or more
2088,Bethel SD 52,945,71.96%,77.00% or more,12.38%,8.70% or less,1.48%,1.60% or less,67.82%,95.00%,76.00%,95.00%,51.02%,95.00%,15.25%,26.90%,14.04%,15.63%,16.00%,26.83%,67.82%,95.00%,73.33%,95.00%,38.78%,95.00%,16.95%,19.91%,9.09%,9.47%,5.26%,5.85%,98.33%,100.00%,78.38%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,11.99%,23.44%,19.20%,26.94%,16.21%,28.04%,7.43%,17.18%,5.66%,18.00%,5.48%,18.76%,60.49,81.00%,28.40%,12.17%,20.90%,34% or more,70.15%,58% or more,79.10%,76% or more
2095,Blachly SD 90,42,92.86%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2052,Black Butte SD 41,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1974,Brookings-Harbor SD 17C,215,72.56%,77.00% or more,7.91%,8.70% or less,0.47%,1.60% or less,85.71%,95.00%,68.18%,95.00%,47.37%,95.00%,11.76%,26.90%,13.33%,15.63%,*,26.83%,85.71%,95.00%,68.18%,95.00%,42.11%,95.00%,5.88%,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,>95%,85.34%,91.67%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,19.67%,23.44%,27.41%,26.94%,*,28.04%,21.66%,17.18%,5.00%,18.00%,*,18.76%,60,81.00%,20.00%,12.17%,*,34% or more,*,58% or more,*,76% or more
1896,Burnt River SD 30J,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2046,Butte Falls SD 91,53,92.45%,77.00% or more,0.00%,8.70% or less,1.89%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,>95%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1995,Camas Valley SD 21J,32,78.13%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1929,Canby SD 86,602,78.07%,77.00% or more,6.48%,8.70% or less,2.82%,1.60% or less,85.71%,95.00%,88.46%,95.00%,47.37%,95.00%,12.77%,26.90%,12.20%,15.63%,11.76%,26.83%,85.71%,95.00%,88.46%,95.00%,28.95%,95.00%,6.38%,19.91%,9.76%,9.47%,<5%,5.85%,100.00%,100.00%,72.81%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,21.86%,23.44%,26.90%,26.94%,33.69%,28.04%,17.98%,17.18%,18.16%,18.00%,36.42%,18.76%,82.22,81.00%,13.33%,12.17%,27.27%,34% or more,77.27%,58% or more,81.82%,76% or more
2139,Cascade SD 5,412,78.88%,77.00% or more,9.95%,8.70% or less,0.49%,1.60% or less,75.00%,95.00%,90.00%,95.00%,69.44%,95.00%,12.50%,26.90%,7.41%,15.63%,24.00%,26.83%,77.78%,95.00%,90.00%,95.00%,72.22%,95.00%,20.00%,19.91%,<5%,9.47%,<5%,5.85%,100.00%,100.00%,84.85%,85.34%,81.82%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,36.96%,23.44%,39.32%,26.94%,29.85%,28.04%,17.84%,17.18%,22.45%,18.00%,18.68%,18.76%,80.95,81.00%,19.05%,12.17%,16.67%,34% or more,83.33%,58% or more,83.33%,76% or more
2185,Centennial SD 28J,789,74.02%,77.00% or more,9.25%,8.70% or less,4.44%,1.60% or less,87.50%,95.00%,85.71%,95.00%,81.58%,95.00%,13.33%,26.90%,19.05%,15.63%,23.08%,26.83%,87.50%,95.00%,83.93%,95.00%,78.95%,95.00%,11.11%,19.91%,<5%,9.47%,<5%,5.85%,96.12%,100.00%,78.26%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,18.23%,23.44%,11.44%,26.94%,7.30%,28.04%,15.35%,17.18%,13.23%,18.00%,9.37%,18.76%,52.73,81.00%,32.73%,12.17%,10.00%,34% or more,56.67%,58% or more,60.00%,76% or more
1972,Central Curry SD 1,48,87.50%,77.00% or more,2.08%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,16.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2105,Central Linn SD 552,94,81.91%,77.00% or more,6.38%,8.70% or less,2.13%,1.60% or less,*,95.00%,75.00%,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,75.00%,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,90.91%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,88.89,81.00%,11.11%,12.17%,0.00%,34% or more,66.67%,58% or more,83.33%,76% or more
2042,Central Point SD 6,654,68.35%,77.00% or more,18.35%,8.70% or less,0.46%,1.60% or less,86.76%,95.00%,94.00%,95.00%,83.33%,95.00%,6.90%,26.90%,7.14%,15.63%,15.79%,26.83%,86.76%,95.00%,88.00%,95.00%,83.33%,95.00%,10.34%,19.91%,<5%,9.47%,5.41%,5.85%,97.52%,100.00%,78.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,20.99%,23.44%,20.84%,26.94%,41.20%,28.04%,12.62%,17.18%,14.21%,18.00%,18.35%,18.76%,60.53,81.00%,13.16%,12.17%,22.73%,34% or more,72.73%,58% or more,86.36%,76% or more
2191,Central SD 13J,398,65.33%,77.00% or more,16.83%,8.70% or less,2.26%,1.60% or less,84.62%,95.00%,84.85%,95.00%,64.29%,95.00%,15.00%,26.90%,<5%,15.63%,13.64%,26.83%,76.92%,95.00%,87.88%,95.00%,61.90%,95.00%,16.67%,19.91%,<5%,9.47%,<5%,5.85%,83.64%,100.00%,71.43%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,19.67%,23.44%,28.57%,26.94%,27.72%,28.04%,<5%,17.18%,14.41%,18.00%,9.68%,18.76%,76.92,81.00%,23.08%,12.17%,*,34% or more,*,58% or more,*,76% or more
1945,Clatskanie SD 6J,122,67.21%,77.00% or more,18.03%,8.70% or less,4.10%,1.60% or less,54.55%,95.00%,63.64%,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,72.73%,95.00%,63.64%,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,69.23%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,50,81.00%,16.67%,12.17%,25.00%,34% or more,50.00%,58% or more,50.00%,76% or more
1927,Colton SD 53,87,97.70%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,50.00%,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,50.00%,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,66.67,81.00%,33.33%,12.17%,*,34% or more,*,58% or more,*,76% or more
2006,Condon SD 25J,12,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1965,Coos Bay SD 9,480,79.79%,77.00% or more,10.63%,8.70% or less,0.00%,1.60% or less,84.31%,95.00%,87.80%,95.00%,>95%,95.00%,<5%,26.90%,5.71%,15.63%,20.00%,26.83%,86.27%,95.00%,87.80%,95.00%,>95%,95.00%,11.90%,19.91%,<5%,9.47%,5.26%,5.85%,100.00%,100.00%,86.11%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,23.54%,23.44%,28.25%,26.94%,35.95%,28.04%,12.25%,17.18%,12.04%,18.00%,11.51%,18.76%,71.88,81.00%,21.88%,12.17%,16.67%,34% or more,66.67%,58% or more,75.00%,76% or more
1964,Coquille SD 8,179,78.21%,77.00% or more,11.73%,8.70% or less,0.00%,1.60% or less,*,95.00%,70.59%,95.00%,30.43%,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,70.59%,95.00%,30.43%,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,64.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2186,Corbett SD 39,159,88.05%,77.00% or more,0.63%,8.70% or less,0.63%,1.60% or less,84.62%,95.00%,60.00%,95.00%,*,95.00%,9.09%,26.90%,*,15.63%,*,26.83%,84.62%,95.00%,60.00%,95.00%,*,95.00%,9.09%,19.91%,*,9.47%,*,5.85%,93.48%,100.00%,57.14%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,52.24%,23.44%,*,26.94%,*,28.04%,50.91%,17.18%,*,18.00%,*,18.76%,80,81.00%,<5%,12.17%,50.00%,34% or more,83.33%,58% or more,83.33%,76% or more
1901,Corvallis SD 509J,754,77.45%,77.00% or more,6.63%,8.70% or less,0.13%,1.60% or less,82.54%,95.00%,85.94%,95.00%,60.00%,95.00%,22.73%,26.90%,16.98%,15.63%,18.18%,26.83%,82.54%,95.00%,78.13%,95.00%,58.33%,95.00%,22.73%,19.91%,12.50%,9.47%,<5%,5.85%,98.57%,100.00%,77.33%,85.34%,93.33%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,28.82%,23.44%,37.41%,26.94%,31.98%,28.04%,27.27%,17.18%,23.21%,18.00%,13.97%,18.76%,69.23,81.00%,20.51%,12.17%,34.62%,34% or more,69.23%,58% or more,80.77%,76% or more
2216,Cove SD 15,38,97.37%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2086,Creswell SD 40,196,67.35%,77.00% or more,6.63%,8.70% or less,7.14%,1.60% or less,*,95.00%,71.43%,95.00%,66.67%,95.00%,*,26.90%,10.00%,15.63%,*,26.83%,*,95.00%,71.43%,95.00%,91.67%,95.00%,*,19.91%,<5%,9.47%,<5%,5.85%,100.00%,100.00%,72.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,41.09%,26.94%,*,28.04%,*,17.18%,29.35%,18.00%,24.69%,18.76%,76.47,81.00%,23.53%,12.17%,26.67%,34% or more,93.33%,58% or more,100.00%,76% or more
